Transaction_ID,Date,Time,Merchant_ID,Customer_ID,Device_ID,Transaction_Type,Payment_Gateway,Transaction_City,Transaction_State,IP_Address,Transaction_Status,Device_OS,Transaction_Frequency,Merchant_Category,Transaction_Channel,Transaction_Amount_Deviation,Days_Since_Last_Transaction,amount,fraud
T00022452,20/04/23,4:50:22 AM,f65a902b-2396-40cc-9593-97e103f1bc15,89aaeceb-21f5-46c8-9de3-89dde6a10a75,c1e0deb4-7c97-4178-a838-38f4a2f0b57c,Refund,Paytm,Durgapur,Chhattisgarh,140.213.7.48,Completed,MacOS,1,Brand Vouchers and OTT,In-store,25.02,5,396.62,1
T00032233,08/08/23,8:09:21 AM,d4a5efcb-4eb6-4d3a-8132-07bb3e6e13a4,8a8962f9-e84a-4573-ab0b-187311978a21,62e14f64-b0ba-4284-889a-51ac05baf33e,Bank Transfer,Razorpay,Rajpur Sonarpur,Himachal Pradesh,184.108.177.45,Pending,Windows,30,Home delivery,Mobile,-36.64,20,121.94,1
T00037364,25/06/23,7:49:01 AM,759ad138-9473-4729-8699-3d72c7ffb983,c3f53ce6-e305-4460-a71d-93bde26043ab,4281c542-ac77-4269-b4bb-1de93ac12677,Bank Transfer,Razorpay,New Delhi,Himachal Pradesh,16.106.248.163,Failed,Android,2,Utilities,Online,44.19,22,106.69,1
T00015924,28/01/24,5:44:12 AM,d8f561e4-bded-4ef0-bcd8-5494b2e31a94,9f0c5613-7d4c-4454-bee1-c47fbba406a1,058b6488-2469-42f2-bc7f-707921d35cad,Subscription,Stripe,Bharatpur,Chhattisgarh,65.245.160.212,Failed,Android,0,Purchases,Online,-54.34,28,3611.11,1
T00021805,21/06/23,9:40:59 AM,26fdd7a1-8537-4dfe-bcf7-f5a127b36682,bf9aa6d5-7d3d-43f9-8631-31336720a383,068ff12c-127a-4cfb-9899-ddde37060b28,Investment,PhonePe,Sagar,Mizoram,33.172.152.38,Completed,MacOS,1,Other,Online,12.38,25,374.89,1
T00047124,28/08/23,10:09:28 AM,da557bc8-c1af-464b-924f-1208adbf71e8,213a302c-3fea-4e55-ab11-de8623e2bafa,a897cf08-32e4-4182-ae3a-cfe6d3d109b2,Purchase,Rupay,Bhiwani,Assam,131.232.177.62,Completed,iOS,20,More Services,Mobile,-21.99,7,186.83,1
T00041539,07/05/23,8:41:28 AM,3e4f66ce-d0ad-457e-b07b-c973fd0a36bc,7d4a89c7-b7cb-49b7-b5b0-88c44f7a934c,b757c7dd-fe5a-4e03-a619-2966ed386347,Other,Rupay,Bidhannagar,Andhra Pradesh,155.98.123.213,Failed,Windows,0,Financial services and Taxes,Online,59.58,14,78.51,1
T00044626,15/02/24,7:56:28 AM,299a8dce-10fa-4d2f-9519-ea5d4f41e910,1b450161-de24-4eb9-9e8f-d13b1b8dddbe,627021b7-5bf2-4884-b97a-f96ab9130d19,Other,Paytm,Asansol,Assam,161.223.110.22,Completed,Android,3,More Services,Online,36.24,11,472.17,1
T00007389,12/10/23,10:16:46 AM,ab766f4b-5f3b-4138-8ef3-d7a3a1a07bf4,aa31d906-e32c-439c-88d4-5992f992203d,21f735e5-5477-4d00-bc71-9928c0ee5471,Subscription,BharatPe,Kakinada,West Bengal,180.0.245.239,Completed,Windows,2,Investment,In-store,-14.65,5,84.65,1
T00032829,02/03/24,1:45:19 AM,5b0d22d2-b0eb-41be-ba47-580b10ede9cd,11258bff-f01b-4dbd-b41a-7fda1d6f48d3,1676c4a0-1439-4d1e-a1cb-2f320fdf5414,Bank Transfer,PhonePe,Anantapur,Goa,129.147.134.252,Failed,iOS,1,Investment,Online,12.83,18,238.36,1
